Date,Visitor/Neutral,PTS,Home/Neutral,,Visitor_PTS,Home_PTS,Month,Season,Recent Wins (Home),Recent Losses (Home),Recent Win % (Home),Recent Wins (Visitor),Recent Losses (Visitor),Recent Win % (Visitor),Matchup Wins (Home),Matchup Wins (Visitor),Total Matchups,DSLG (Home),DSLG (Visitor),Wins (Home),Losses (Home),Wins (Visitor),Losses (Visitor)
Fri Oct 27 2023,Denver Nuggets,104,Memphis Grizzlies,,108,104,october,2023-2024,0,1,0.0,0,1,0.0,0,4,4,2.0,3.0,0,1,1,0
Fri Oct 27 2023,Detroit Pistons,99,Charlotte Hornets,,111,99,october,2023-2024,0,1,0.0,1,0,100.0,0,3,3,2.0,2.0,1,0,0,1
Fri Oct 27 2023,New York Knicks,120,Atlanta Hawks,,126,120,october,2023-2024,1,0,100.0,0,1,0.0,1,2,3,2.0,2.0,0,1,0,1
Fri Oct 27 2023,Oklahoma City Thunder,105,Cleveland Cavaliers,,108,105,october,2023-2024,1,0,100.0,1,0,100.0,0,2,2,2.0,2.0,1,0,1,0
Fri Oct 27 2023,Miami Heat,119,Boston Celtics,,111,119,october,2023-2024,1,0,100.0,0,1,0.0,6,1,7,2.0,2.0,1,0,1,0
Fri Oct 27 2023,Toronto Raptors,104,Chicago Bulls,OT,103,104,october,2023-2024,0,1,0.0,0,1,0.0,2,2,4,2.0,2.0,0,1,1,0
Fri Oct 27 2023,Houston Rockets,126,San Antonio Spurs,OT,122,126,october,2023-2024,0,1,0.0,1,0,100.0,1,3,4,2.0,2.0,0,1,0,1
Fri Oct 27 2023,Brooklyn Nets,125,Dallas Mavericks,,120,125,october,2023-2024,1,0,100.0,0,1,0.0,2,0,2,2.0,2.0,1,0,0,1
Fri Oct 27 2023,Los Angeles Clippers,120,Utah Jazz,,118,120,october,2023-2024,0,1,0.0,0,1,0.0,2,2,4,2.0,2.0,0,1,1,0
Fri Oct 27 2023,Orlando Magic,97,Portland Trail Blazers,,102,97,october,2023-2024,1,0,100.0,0,1,0.0,0,2,2,2.0,2.0,0,1,1,0
Fri Oct 27 2023,Golden State Warriors,114,Sacramento Kings,,122,114,october,2023-2024,1,0,100.0,0,1,0.0,3,2,5,2.0,3.0,1,0,0,1
Sat Oct 28 2023,Chicago Bulls,118,Detroit Pistons,,102,118,october,2023-2024,2,0,100.0,0,2,0.0,2,2,4,1.0,1.0,1,1,1,1
Sat Oct 28 2023,Memphis Grizzlies,113,Washington Wizards,,106,113,october,2023-2024,1,0,100.0,0,2,0.0,1,1,2,3.0,1.0,0,1,0,2
Sat Oct 28 2023,New York Knicks,96,New Orleans Pelicans,,87,96,october,2023-2024,1,0,100.0,1,1,50.0,2,0,2,3.0,1.0,1,0,1,1
Sat Oct 28 2023,Indiana Pacers,113,Cleveland Cavaliers,,125,113,october,2023-2024,1,1,50.0,0,1,0.0,2,2,4,1.0,3.0,1,1,1,0
Sat Oct 28 2023,Philadelphia 76ers,107,Toronto Raptors,,114,107,october,2023-2024,1,1,50.0,1,0,100.0,0,4,4,1.0,2.0,1,1,0,1
Sat Oct 28 2023,Miami Heat,106,Minnesota Timberwolves,,90,106,october,2023-2024,1,0,100.0,1,1,50.0,2,0,2,3.0,1.0,0,1,1,1
Sat Oct 28 2023,Utah Jazz,126,Phoenix Suns,,104,126,october,2023-2024,2,0,100.0,0,2,0.0,4,0,4,2.0,1.0,1,1,1,1
Sun Oct 29 2023,Denver Nuggets,95,Oklahoma City Thunder,,128,95,october,2023-2024,2,0,100.0,1,1,50.0,3,1,4,2.0,2.0,2,0,2,0
Sun Oct 29 2023,Golden State Warriors,95,Houston Rockets,,106,95,october,2023-2024,2,0,100.0,1,1,50.0,0,3,3,2.0,2.0,0,2,1,1
Sun Oct 29 2023,Atlanta Hawks,110,Milwaukee Bucks,,127,110,october,2023-2024,0,1,0.0,1,1,50.0,2,1,3,3.0,2.0,1,0,0,2
Sun Oct 29 2023,Portland Trail Blazers,126,Philadelphia 76ers,,98,126,october,2023-2024,2,0,100.0,1,1,50.0,1,1,2,1.0,2.0,1,1,0,2
Sun Oct 29 2023,San Antonio Spurs,123,Los Angeles Clippers,,83,123,october,2023-2024,1,1,50.0,0,2,0.0,3,0,3,2.0,2.0,1,1,1,1
Sun Oct 29 2023,Los Angeles Lakers,132,Sacramento Kings,OT,127,132,october,2023-2024,1,1,50.0,1,1,50.0,4,0,4,2.0,3.0,1,1,1,1
Mon Oct 30 2023,Chicago Bulls,105,Indiana Pacers,,112,105,october,2023-2024,1,1,50.0,1,2,33.3,1,3,4,2.0,2.0,2,0,1,2
Mon Oct 30 2023,Boston Celtics,107,Washington Wizards,,126,107,october,2023-2024,1,1,50.0,1,1,50.0,0,4,4,2.0,3.0,1,1,2,0
Mon Oct 30 2023,Brooklyn Nets,121,Charlotte Hornets,,133,121,october,2023-2024,0,2,0.0,1,1,50.0,2,1,3,3.0,3.0,1,1,0,2
Mon Oct 30 2023,Portland Trail Blazers,91,Toronto Raptors,,99,91,october,2023-2024,1,2,33.3,2,1,66.7,0,2,2,2.0,1.0,1,2,0,3
Mon Oct 30 2023,Minnesota Timberwolves,127,Atlanta Hawks,,113,127,october,2023-2024,2,1,66.7,1,1,50.0,1,1,2,1.0,2.0,1,2,1,1
Mon Oct 30 2023,Dallas Mavericks,110,Memphis Grizzlies,,125,110,october,2023-2024,1,2,33.3,1,1,50.0,2,2,4,2.0,3.0,0,3,2,0
Mon Oct 30 2023,Miami Heat,122,Milwaukee Bucks,,114,122,october,2023-2024,0,2,0.0,2,1,66.7,2,1,3,1.0,2.0,1,1,1,2
Mon Oct 30 2023,Golden State Warriors,102,New Orleans Pelicans,,130,102,october,2023-2024,1,1,50.0,2,1,66.7,2,1,3,2.0,1.0,2,0,2,1
Mon Oct 30 2023,Detroit Pistons,124,Oklahoma City Thunder,,112,124,october,2023-2024,2,1,66.7,2,1,66.7,1,1,2,1.0,2.0,2,1,2,1
Mon Oct 30 2023,Utah Jazz,110,Denver Nuggets,,102,110,october,2023-2024,2,1,66.7,1,2,33.3,3,1,4,1.0,2.0,3,0,1,2
Mon Oct 30 2023,Orlando Magic,106,Los Angeles Lakers,,103,106,october,2023-2024,2,1,66.7,1,1,50.0,1,1,2,1.0,3.0,1,2,2,0
Tue Oct 31 2023,New York Knicks,91,Cleveland Cavaliers,,109,91,october,2023-2024,1,2,33.3,2,1,66.7,1,2,3,3.0,3.0,1,2,1,2
Tue Oct 31 2023,San Antonio Spurs,114,Phoenix Suns,,115,114,october,2023-2024,2,1,66.7,1,2,33.3,1,3,4,3.0,2.0,2,1,1,2
Tue Oct 31 2023,Orlando Magic,118,Los Angeles Clippers,,102,118,october,2023-2024,1,2,33.3,2,1,66.7,2,0,2,2.0,1.0,2,1,2,1
Wed Nov 1 2023,Portland Trail Blazers,101,Detroit Pistons,,110,101,november,2023-2024,3,1,75.0,3,1,75.0,1,1,2,2.0,2.0,2,2,1,3
Wed Nov 1 2023,Milwaukee Bucks,130,Toronto Raptors,,111,130,november,2023-2024,1,3,25.0,0,3,0.0,2,1,3,2.0,2.0,1,3,2,1
Wed Nov 1 2023,Washington Wizards,130,Atlanta Hawks,,121,130,november,2023-2024,2,2,50.0,1,2,33.3,3,1,4,2.0,2.0,2,2,1,2
Wed Nov 1 2023,Indiana Pacers,155,Boston Celtics,,104,155,november,2023-2024,2,1,66.7,1,2,33.3,3,2,5,2.0,2.0,3,0,2,1
Wed Nov 1 2023,Brooklyn Nets,105,Miami Heat,,109,105,november,2023-2024,3,1,75.0,2,1,66.7,2,2,4,2.0,2.0,1,3,1,2
Wed Nov 1 2023,Cleveland Cavaliers,89,New York Knicks,,95,89,november,2023-2024,3,1,75.0,1,3,25.0,2,1,3,1.0,1.0,2,2,1,3
Wed Nov 1 2023,New Orleans Pelicans,106,Oklahoma City Thunder,,110,106,november,2023-2024,2,2,50.0,1,2,33.3,6,1,7,2.0,2.0,3,1,2,1
Wed Nov 1 2023,Charlotte Hornets,128,Houston Rockets,,119,128,november,2023-2024,2,1,66.7,0,3,0.0,2,0,2,3.0,2.0,0,3,1,2
Wed Nov 1 2023,Denver Nuggets,110,Minnesota Timberwolves,,89,110,november,2023-2024,2,1,66.7,2,2,50.0,2,2,4,2.0,2.0,1,2,4,0
Wed Nov 1 2023,Chicago Bulls,114,Dallas Mavericks,,105,114,november,2023-2024,2,1,66.7,2,2,50.0,2,0,2,2.0,2.0,3,0,2,2
Wed Nov 1 2023,Memphis Grizzlies,133,Utah Jazz,,109,133,november,2023-2024,2,2,50.0,1,3,25.0,2,1,3,2.0,2.0,1,3,0,4
Wed Nov 1 2023,Sacramento Kings,102,Golden State Warriors,,101,102,november,2023-2024,3,1,75.0,1,2,33.3,2,3,5,2.0,3.0,3,1,2,1
Wed Nov 1 2023,Los Angeles Clippers,130,Los Angeles Lakers,OT,125,130,november,2023-2024,2,2,50.0,1,3,25.0,3,1,4,2.0,1.0,2,2,3,1
Thu Nov 2 2023,Toronto Raptors,114,Philadelphia 76ers,,99,114,november,2023-2024,2,1,66.7,1,4,20.0,4,0,4,4.0,1.0,2,1,2,3
Thu Nov 2 2023,Detroit Pistons,125,New Orleans Pelicans,,116,125,november,2023-2024,2,2,50.0,3,2,60.0,2,0,2,1.0,1.0,3,1,2,3
Thu Nov 2 2023,Orlando Magic,113,Utah Jazz,,115,113,november,2023-2024,2,3,40.0,3,1,75.0,0,2,2,1.0,2.0,2,3,2,2
Thu Nov 2 2023,San Antonio Spurs,121,Phoenix Suns,,132,121,november,2023-2024,2,2,50.0,2,2,50.0,1,3,4,2.0,2.0,2,2,2,2
Fri Nov 3 2023,Cleveland Cavaliers,121,Indiana Pacers,,116,121,november,2023-2024,2,2,50.0,2,3,40.0,2,2,4,2.0,2.0,2,2,2,3
Fri Nov 3 2023,New York Knicks,110,Milwaukee Bucks,,105,110,november,2023-2024,1,3,25.0,3,2,60.0,3,2,5,2.0,2.0,2,2,2,3
Fri Nov 3 2023,Brooklyn Nets,107,Chicago Bulls,,109,107,november,2023-2024,3,2,60.0,3,1,75.0,0,3,3,2.0,2.0,2,3,2,2
Fri Nov 3 2023,Washington Wizards,121,Miami Heat,,114,121,november,2023-2024,3,2,60.0,2,2,50.0,3,1,4,2.0,2.0,1,4,1,3
Fri Nov 3 2023,Golden State Warriors,139,Oklahoma City Thunder,,141,139,november,2023-2024,2,3,40.0,3,2,60.0,3,1,4,2.0,2.0,3,2,4,1
Fri Nov 3 2023,Dallas Mavericks,125,Denver Nuggets,,114,125,november,2023-2024,3,2,60.0,2,2,50.0,2,1,3,2.0,2.0,4,1,4,0
Fri Nov 3 2023,Memphis Grizzlies,115,Portland Trail Blazers,OT,113,115,november,2023-2024,4,1,80.0,2,3,40.0,3,1,4,2.0,2.0,2,3,0,5
Sat Nov 4 2023,Phoenix Suns,112,Philadelphia 76ers,,100,112,november,2023-2024,2,2,50.0,2,3,40.0,1,1,2,2.0,2.0,3,1,2,3
Sat Nov 4 2023,Charlotte Hornets,124,Indiana Pacers,,125,124,november,2023-2024,2,3,40.0,1,3,25.0,2,2,4,1.0,3.0,3,2,1,3
Sat Nov 4 2023,Atlanta Hawks,105,New Orleans Pelicans,,123,105,november,2023-2024,2,3,40.0,2,3,40.0,1,1,2,2.0,3.0,4,1,3,2
Sat Nov 4 2023,Los Angeles Lakers,120,Orlando Magic,,101,120,november,2023-2024,4,1,80.0,2,3,40.0,1,1,2,2.0,3.0,3,2,3,2
Sat Nov 4 2023,Boston Celtics,114,Brooklyn Nets,,124,114,november,2023-2024,4,1,80.0,2,2,50.0,0,4,4,1.0,3.0,3,2,4,0
Sat Nov 4 2023,Sacramento Kings,107,Houston Rockets,,89,107,november,2023-2024,2,2,50.0,2,2,50.0,3,0,3,3.0,3.0,1,3,2,2
Sat Nov 4 2023,Utah Jazz,123,Minnesota Timberwolves,,95,123,november,2023-2024,2,2,50.0,2,3,40.0,4,0,4,3.0,2.0,2,2,2,4
Sat Nov 4 2023,Chicago Bulls,123,Denver Nuggets,,101,123,november,2023-2024,3,2,60.0,3,2,60.0,2,0,2,1.0,1.0,5,1,2,4
Sun Nov 5 2023,Phoenix Suns,106,Detroit Pistons,,120,106,november,2023-2024,3,2,60.0,2,3,40.0,0,2,2,3.0,1.0,2,4,2,4
Sun Nov 5 2023,Toronto Raptors,116,San Antonio Spurs,OT,123,116,november,2023-2024,3,2,60.0,2,3,40.0,1,1,2,3.0,3.0,3,2,2,4
Sun Nov 5 2023,Golden State Warriors,115,Cleveland Cavaliers,,104,115,november,2023-2024,2,3,40.0,4,1,80.0,2,0,2,2.0,2.0,2,4,5,1
Sun Nov 5 2023,Charlotte Hornets,124,Dallas Mavericks,,118,124,november,2023-2024,3,2,60.0,2,3,40.0,2,0,2,2.0,1.0,4,1,2,3
Sun Nov 5 2023,Memphis Grizzlies,100,Portland Trail Blazers,,112,100,november,2023-2024,3,2,60.0,3,2,60.0,3,1,4,2.0,2.0,3,3,0,6
Mon Nov 6 2023,Golden State Warriors,109,Detroit Pistons,,120,109,november,2023-2024,2,3,40.0,4,1,80.0,0,2,2,1.0,1.0,2,5,5,2
Mon Nov 6 2023,San Antonio Spurs,152,Indiana Pacers,,111,152,november,2023-2024,2,3,40.0,3,2,60.0,1,1,2,2.0,1.0,3,3,3,3
Mon Nov 6 2023,Dallas Mavericks,102,Orlando Magic,,117,102,november,2023-2024,4,1,80.0,2,3,40.0,0,2,2,2.0,1.0,4,2,5,1
Mon Nov 6 2023,Washington Wizards,146,Philadelphia 76ers,,128,146,november,2023-2024,2,3,40.0,3,2,60.0,4,0,4,2.0,3.0,4,1,1,4
Mon Nov 6 2023,Milwaukee Bucks,125,Brooklyn Nets,,129,125,november,2023-2024,4,1,80.0,1,4,20.0,0,3,3,2.0,3.0,3,3,3,2
Mon Nov 6 2023,Los Angeles Lakers,108,Miami Heat,,107,108,november,2023-2024,3,2,60.0,2,3,40.0,2,0,2,3.0,2.0,2,4,3,3
Mon Nov 6 2023,Los Angeles Clippers,111,New York Knicks,,97,111,november,2023-2024,4,1,80.0,2,3,40.0,1,1,2,3.0,5.0,2,4,3,2
Mon Nov 6 2023,Utah Jazz,130,Chicago Bulls,,113,130,november,2023-2024,4,1,80.0,3,2,60.0,2,0,2,2.0,2.0,2,5,2,5
Mon Nov 6 2023,Sacramento Kings,122,Houston Rockets,,97,122,november,2023-2024,2,3,40.0,3,2,60.0,3,0,3,2.0,2.0,2,3,2,3
Mon Nov 6 2023,Boston Celtics,114,Minnesota Timberwolves,OT,109,114,november,2023-2024,2,3,40.0,3,2,60.0,1,1,2,2.0,2.0,3,2,5,0
Mon Nov 6 2023,Atlanta Hawks,126,Oklahoma City Thunder,,117,126,november,2023-2024,1,4,20.0,2,3,40.0,1,1,2,3.0,2.0,3,3,4,2
Mon Nov 6 2023,New Orleans Pelicans,134,Denver Nuggets,,116,134,november,2023-2024,2,3,40.0,1,4,20.0,2,1,3,2.0,2.0,6,1,4,2
Wed Nov 8 2023,Washington Wizards,116,Charlotte Hornets,,132,116,november,2023-2024,3,2,60.0,3,2,60.0,2,2,4,3.0,2.0,2,4,1,5
Wed Nov 8 2023,Utah Jazz,134,Indiana Pacers,,118,134,november,2023-2024,1,4,20.0,3,2,60.0,1,1,2,2.0,2.0,4,3,2,6
Wed Nov 8 2023,Boston Celtics,106,Philadelphia 76ers,,103,106,november,2023-2024,1,4,20.0,3,2,60.0,1,3,4,2.0,2.0,5,1,5,1
Wed Nov 8 2023,Los Angeles Clippers,100,Brooklyn Nets,,93,100,november,2023-2024,3,2,60.0,3,2,60.0,1,1,2,2.0,2.0,3,4,3,3
Wed Nov 8 2023,San Antonio Spurs,126,New York Knicks,,105,126,november,2023-2024,3,2,60.0,4,1,80.0,1,1,2,2.0,2.0,3,4,3,4
Wed Nov 8 2023,Phoenix Suns,115,Chicago Bulls,OT,116,115,november,2023-2024,3,2,60.0,2,3,40.0,0,2,2,2.0,3.0,3,5,3,4
Wed Nov 8 2023,Los Angeles Lakers,128,Houston Rockets,,94,128,november,2023-2024,1,4,20.0,3,2,60.0,2,2,4,2.0,2.0,3,3,3,4
Wed Nov 8 2023,Miami Heat,102,Memphis Grizzlies,,108,102,november,2023-2024,4,1,80.0,2,3,40.0,1,1,2,3.0,2.0,1,6,3,4
Wed Nov 8 2023,Detroit Pistons,120,Milwaukee Bucks,,118,120,november,2023-2024,2,3,40.0,2,3,40.0,4,0,4,2.0,2.0,4,2,2,6
Wed Nov 8 2023,New Orleans Pelicans,122,Minnesota Timberwolves,,101,122,november,2023-2024,1,4,20.0,2,3,40.0,2,2,4,2.0,2.0,4,2,4,3
Wed Nov 8 2023,Cleveland Cavaliers,128,Oklahoma City Thunder,,120,128,november,2023-2024,0,5,0.0,2,3,40.0,2,0,2,2.0,3.0,4,3,3,4
Wed Nov 8 2023,Toronto Raptors,116,Dallas Mavericks,,127,116,november,2023-2024,3,2,60.0,2,3,40.0,1,1,2,2.0,3.0,6,1,3,4
Wed Nov 8 2023,Golden State Warriors,108,Denver Nuggets,,105,108,november,2023-2024,1,4,20.0,4,1,80.0,4,0,4,2.0,2.0,7,1,6,2
Wed Nov 8 2023,Portland Trail Blazers,121,Sacramento Kings,OT,118,121,november,2023-2024,3,2,60.0,3,2,60.0,2,1,3,2.0,3.0,2,4,3,4
Thu Nov 9 2023,Milwaukee Bucks,126,Indiana Pacers,,124,126,november,2023-2024,1,4,20.0,2,3,40.0,7,3,10,1.0,1.0,5,3,5,2
Thu Nov 9 2023,Atlanta Hawks,119,Orlando Magic,,120,119,november,2023-2024,3,2,60.0,3,2,60.0,1,3,4,3.0,3.0,4,3,4,3
Fri Nov 10 2023,Philadelphia 76ers,106,Detroit Pistons,,114,106,november,2023-2024,2,3,40.0,0,5,0.0,0,4,4,2.0,2.0,2,7,6,1
Fri Nov 10 2023,Charlotte Hornets,117,Washington Wizards,,124,117,november,2023-2024,4,1,80.0,3,2,60.0,2,2,4,2.0,2.0,2,5,2,5
Fri Nov 10 2023,Brooklyn Nets,121,Boston Celtics,,107,121,november,2023-2024,4,1,80.0,2,3,40.0,4,0,4,2.0,2.0,5,2,4,4
Fri Nov 10 2023,New Orleans Pelicans,104,Houston Rockets,,101,104,november,2023-2024,0,5,0.0,3,2,60.0,2,2,4,2.0,2.0,4,3,4,4
Fri Nov 10 2023,Utah Jazz,121,Memphis Grizzlies,,127,121,november,2023-2024,3,2,60.0,3,2,60.0,1,2,3,2.0,2.0,1,7,2,7
Fri Nov 10 2023,Minnesota Timberwolves,110,San Antonio Spurs,,117,110,november,2023-2024,4,1,80.0,1,4,20.0,1,3,4,2.0,2.0,3,5,5,2
Fri Nov 10 2023,Los Angeles Clippers,144,Dallas Mavericks,,126,144,november,2023-2024,2,3,40.0,3,2,60.0,3,4,7,2.0,2.0,6,2,3,4
Fri Nov 10 2023,Los Angeles Lakers,119,Phoenix Suns,,122,119,november,2023-2024,3,2,60.0,3,2,60.0,2,3,5,2.0,2.0,4,4,3,5
Fri Nov 10 2023,Oklahoma City Thunder,105,Sacramento Kings,,98,105,november,2023-2024,3,2,60.0,0,5,0.0,2,2,4,2.0,2.0,3,4,5,3
Sat Nov 11 2023,Milwaukee Bucks,112,Orlando Magic,,97,112,november,2023-2024,2,3,40.0,3,2,60.0,2,2,4,2.0,2.0,4,4,5,3
Sat Nov 11 2023,Toronto Raptors,117,Boston Celtics,,94,117,november,2023-2024,3,2,60.0,3,2,60.0,4,0,4,1.0,3.0,6,2,4,4
Sat Nov 11 2023,Miami Heat,109,Atlanta Hawks,,117,109,november,2023-2024,3,2,60.0,2,3,40.0,1,3,4,2.0,3.0,5,3,4,4
Sat Nov 11 2023,Cleveland Cavaliers,110,Golden State Warriors,,118,110,november,2023-2024,4,1,80.0,3,2,60.0,0,2,2,3.0,3.0,6,3,3,5
Sun Nov 12 2023,Charlotte Hornets,129,New York Knicks,,107,129,november,2023-2024,2,3,40.0,4,1,80.0,4,0,4,4.0,2.0,4,4,3,5
Sun Nov 12 2023,Washington Wizards,102,Brooklyn Nets,,94,102,november,2023-2024,2,3,40.0,4,1,80.0,3,1,4,2.0,2.0,4,5,2,6
Sun Nov 12 2023,Memphis Grizzlies,101,Los Angeles Clippers,,105,101,november,2023-2024,4,1,80.0,3,2,60.0,3,1,4,2.0,2.0,3,5,1,8
Sun Nov 12 2023,Indiana Pacers,137,Philadelphia 76ers,,126,137,november,2023-2024,1,4,20.0,0,5,0.0,1,2,3,2.0,3.0,7,1,6,3
Sun Nov 12 2023,Detroit Pistons,119,Chicago Bulls,,108,119,november,2023-2024,2,3,40.0,2,3,40.0,2,2,4,4.0,2.0,3,6,2,8
Sun Nov 12 2023,Denver Nuggets,107,Houston Rockets,,104,107,november,2023-2024,0,5,0.0,1,4,20.0,3,1,4,2.0,4.0,5,3,8,1
Sun Nov 12 2023,Dallas Mavericks,124,New Orleans Pelicans,,136,124,november,2023-2024,3,2,60.0,2,3,40.0,2,2,4,2.0,2.0,4,5,7,2
Sun Nov 12 2023,Miami Heat,113,San Antonio Spurs,,118,113,november,2023-2024,3,2,60.0,2,3,40.0,0,2,2,2.0,1.0,3,6,5,4
Sun Nov 12 2023,Oklahoma City Thunder,99,Phoenix Suns,,111,99,november,2023-2024,3,2,60.0,1,4,20.0,0,3,3,2.0,2.0,4,5,5,4
Sun Nov 12 2023,Minnesota Timberwolves,110,Golden State Warriors,,116,110,november,2023-2024,4,1,80.0,1,4,20.0,0,3,3,1.0,2.0,6,4,6,2
Sun Nov 12 2023,Portland Trail Blazers,116,Los Angeles Lakers,,110,116,november,2023-2024,4,1,80.0,3,2,60.0,3,0,3,2.0,4.0,4,5,3,5
Mon Nov 13 2023,New York Knicks,114,Boston Celtics,,98,114,november,2023-2024,3,2,60.0,1,4,20.0,4,1,5,2.0,1.0,7,2,5,4
Mon Nov 13 2023,Washington Wizards,111,Toronto Raptors,,107,111,november,2023-2024,4,1,80.0,4,1,80.0,3,1,4,2.0,1.0,4,5,2,7
Mon Nov 13 2023,Chicago Bulls,118,Milwaukee Bucks,,109,118,november,2023-2024,3,2,60.0,1,4,20.0,3,1,4,2.0,1.0,5,4,4,6
Mon Nov 13 2023,Cleveland Cavaliers,132,Sacramento Kings,,120,132,november,2023-2024,3,2,60.0,4,1,80.0,1,1,2,3.0,2.0,4,4,4,5
Tue Nov 14 2023,Miami Heat,105,Charlotte Hornets,,111,105,november,2023-2024,4,1,80.0,3,2,60.0,0,4,4,2.0,2.0,3,6,6,4
Tue Nov 14 2023,Atlanta Hawks,120,Detroit Pistons,,126,120,november,2023-2024,2,3,40.0,3,2,60.0,0,3,3,2.0,3.0,2,9,5,4
Tue Nov 14 2023,Indiana Pacers,126,Philadelphia 76ers,,132,126,november,2023-2024,1,4,20.0,1,4,20.0,1,2,3,2.0,2.0,8,1,6,4
Tue Nov 14 2023,Orlando Magic,124,Brooklyn Nets,,104,124,november,2023-2024,1,4,20.0,1,4,20.0,2,2,4,2.0,3.0,5,5,5,4
Tue Nov 14 2023,San Antonio Spurs,123,Oklahoma City Thunder,,87,123,november,2023-2024,2,3,40.0,2,3,40.0,3,1,4,2.0,2.0,6,4,3,7
Tue Nov 14 2023,Dallas Mavericks,131,New Orleans Pelicans,,110,131,november,2023-2024,3,2,60.0,2,3,40.0,2,2,4,2.0,2.0,4,6,8,2
Tue Nov 14 2023,Portland Trail Blazers,115,Utah Jazz,,99,115,november,2023-2024,4,1,80.0,3,2,60.0,3,1,4,4.0,2.0,3,7,3,6
Tue Nov 14 2023,Los Angeles Clippers,111,Denver Nuggets,,108,111,november,2023-2024,1,4,20.0,4,1,80.0,2,2,4,2.0,2.0,8,2,3,6
Tue Nov 14 2023,Minnesota Timberwolves,101,Golden State Warriors,,104,101,november,2023-2024,3,2,60.0,2,3,40.0,0,3,3,2.0,2.0,6,5,7,2
Tue Nov 14 2023,Memphis Grizzlies,134,Los Angeles Lakers,,107,134,november,2023-2024,4,1,80.0,3,2,60.0,3,1,4,2.0,2.0,5,5,2,8
Wed Nov 15 2023,Dallas Mavericks,117,Washington Wizards,,130,117,november,2023-2024,4,1,80.0,3,2,60.0,0,2,2,2.0,1.0,2,8,8,3
Wed Nov 15 2023,New York Knicks,114,Atlanta Hawks,,116,114,november,2023-2024,4,1,80.0,2,3,40.0,1,2,3,1.0,2.0,6,4,5,5
Wed Nov 15 2023,Boston Celtics,107,Philadelphia 76ers,,117,107,november,2023-2024,1,4,20.0,2,3,40.0,1,3,4,1.0,2.0,8,2,8,2
Wed Nov 15 2023,Milwaukee Bucks,112,Toronto Raptors,,128,112,november,2023-2024,4,1,80.0,3,2,60.0,2,1,3,2.0,2.0,5,5,6,4
Wed Nov 15 2023,Orlando Magic,94,Chicago Bulls,,96,94,november,2023-2024,2,3,40.0,1,4,20.0,0,4,4,2.0,1.0,4,7,5,5
