Date,Visitor/Neutral,PTS,Home/Neutral,,Visitor_PTS,Home_PTS,Month,Season,Recent Wins (Home),Recent Losses (Home),Recent Win % (Home),Recent Wins (Visitor),Recent Losses (Visitor),Recent Win % (Visitor),Matchup Wins (Home),Matchup Wins (Visitor),Total Matchups,DSLG (Visitor),DSLG (Home),Wins (Home),Losses (Home),Wins (Visitor),Losses (Visitor)
Fri Oct 21 2022,New Orleans Pelicans,112,Charlotte Hornets,,124,112,october,2022-2023,3,2,60.0,2,3,40.0,0,2,2,2.0,2.0,74,72,69,85
Fri Oct 21 2022,San Antonio Spurs,134,Indiana Pacers,,137,134,october,2022-2023,2,3,40.0,3,2,60.0,0,2,2,2.0,2.0,54,91,65,81
Fri Oct 21 2022,Chicago Bulls,102,Washington Wizards,,100,102,october,2022-2023,4,1,80.0,3,2,60.0,2,2,4,2.0,2.0,65,81,74,77
Fri Oct 21 2022,Orlando Magic,108,Atlanta Hawks,,98,108,october,2022-2023,2,3,40.0,2,3,40.0,3,1,4,2.0,2.0,81,73,41,105
Fri Oct 21 2022,Toronto Raptors,109,Brooklyn Nets,,105,109,october,2022-2023,2,3,40.0,1,4,20.0,4,0,4,2.0,2.0,88,64,77,75
Fri Oct 21 2022,Boston Celtics,104,Miami Heat,,111,104,october,2022-2023,2,3,40.0,2,3,40.0,2,2,4,3.0,2.0,90,61,90,61
Fri Oct 21 2022,Detroit Pistons,130,New York Knicks,,106,130,october,2022-2023,3,2,60.0,2,3,40.0,4,0,4,2.0,2.0,72,74,43,103
Fri Oct 21 2022,Memphis Grizzlies,122,Houston Rockets,,129,122,october,2022-2023,3,2,60.0,3,2,60.0,0,4,4,2.0,2.0,36,110,93,58
Fri Oct 21 2022,Utah Jazz,126,Minnesota Timberwolves,OT,132,126,october,2022-2023,1,4,20.0,1,4,20.0,2,2,4,2.0,2.0,70,84,97,55
Fri Oct 21 2022,Denver Nuggets,123,Golden State Warriors,,128,123,october,2022-2023,2,3,40.0,3,2,60.0,0,3,3,2.0,3.0,89,62,91,60
Fri Oct 21 2022,Phoenix Suns,113,Portland Trail Blazers,OT,111,113,october,2022-2023,4,1,80.0,3,2,60.0,2,1,3,2.0,2.0,63,83,114,38
Sat Oct 22 2022,San Antonio Spurs,105,Philadelphia 76ers,,114,105,october,2022-2023,3,2,60.0,3,2,60.0,1,1,2,1.0,2.0,97,56,66,81
Sat Oct 22 2022,Detroit Pistons,124,Indiana Pacers,,115,124,october,2022-2023,2,3,40.0,2,3,40.0,2,2,4,1.0,1.0,54,92,43,104
Sat Oct 22 2022,Boston Celtics,120,Orlando Magic,,126,120,october,2022-2023,3,2,60.0,3,2,60.0,3,1,4,1.0,1.0,41,106,91,61
Sat Oct 22 2022,Cleveland Cavaliers,96,Chicago Bulls,,128,96,october,2022-2023,3,2,60.0,3,2,60.0,0,4,4,3.0,1.0,74,78,65,83
Sat Oct 22 2022,Toronto Raptors,112,Miami Heat,,109,112,october,2022-2023,2,3,40.0,2,3,40.0,1,3,4,1.0,1.0,90,62,77,76
Sat Oct 22 2022,Houston Rockets,125,Milwaukee Bucks,,105,125,october,2022-2023,3,2,60.0,3,2,60.0,1,1,2,1.0,2.0,95,56,36,111
Sat Oct 22 2022,Memphis Grizzlies,137,Dallas Mavericks,,96,137,october,2022-2023,4,1,80.0,3,2,60.0,1,3,4,1.0,3.0,91,60,94,58
Sat Oct 22 2022,Oklahoma City Thunder,122,Denver Nuggets,,117,122,october,2022-2023,3,2,60.0,4,1,80.0,3,1,4,3.0,1.0,92,60,45,101
Sat Oct 22 2022,Los Angeles Clippers,109,Sacramento Kings,,111,109,october,2022-2023,2,3,40.0,2,3,40.0,3,1,4,2.0,3.0,56,90,86,63
Sun Oct 23 2022,Portland Trail Blazers,104,Los Angeles Lakers,,106,104,october,2022-2023,3,2,60.0,3,2,60.0,2,2,4,2.0,3.0,69,78,64,83
Sun Oct 23 2022,Charlotte Hornets,109,Atlanta Hawks,,126,109,october,2022-2023,1,4,20.0,3,2,60.0,1,3,4,2.0,2.0,82,73,74,73
Sun Oct 23 2022,Washington Wizards,117,Cleveland Cavaliers,OT,107,117,october,2022-2023,3,2,60.0,3,2,60.0,3,0,3,2.0,1.0,66,83,66,81
Sun Oct 23 2022,Utah Jazz,121,New Orleans Pelicans,OT,122,121,october,2022-2023,3,2,60.0,2,3,40.0,0,3,3,2.0,2.0,70,85,98,55
Sun Oct 23 2022,Minnesota Timberwolves,106,Oklahoma City Thunder,,116,106,october,2022-2023,5,0,100.0,1,4,20.0,1,4,5,2.0,1.0,45,102,70,85
Sun Oct 23 2022,Sacramento Kings,130,Golden State Warriors,,125,130,october,2022-2023,2,3,40.0,2,3,40.0,7,4,11,1.0,2.0,89,63,56,91
Sun Oct 23 2022,Phoenix Suns,95,Los Angeles Clippers,,112,95,october,2022-2023,3,2,60.0,3,2,60.0,3,6,9,2.0,1.0,87,63,114,39
Mon Oct 24 2022,Indiana Pacers,120,Philadelphia 76ers,,106,120,october,2022-2023,2,3,40.0,2,3,40.0,4,0,4,2.0,2.0,97,57,55,92
Mon Oct 24 2022,Toronto Raptors,90,Miami Heat,,98,90,october,2022-2023,1,4,20.0,3,2,60.0,1,3,4,2.0,2.0,91,62,77,77
Mon Oct 24 2022,Orlando Magic,115,New York Knicks,,102,115,october,2022-2023,2,3,40.0,3,2,60.0,2,1,3,2.0,3.0,73,74,41,107
Mon Oct 24 2022,Boston Celtics,120,Chicago Bulls,,102,120,october,2022-2023,3,2,60.0,4,1,80.0,2,2,4,2.0,2.0,74,79,92,61
Mon Oct 24 2022,Utah Jazz,114,Houston Rockets,,108,114,october,2022-2023,3,2,60.0,3,2,60.0,1,2,3,1.0,2.0,36,112,99,55
Mon Oct 24 2022,Brooklyn Nets,134,Memphis Grizzlies,,124,134,october,2022-2023,3,2,60.0,1,4,20.0,1,1,2,3.0,2.0,94,59,89,64
Mon Oct 24 2022,San Antonio Spurs,106,Minnesota Timberwolves,,115,106,october,2022-2023,2,3,40.0,4,1,80.0,2,2,4,2.0,1.0,71,85,67,81
Mon Oct 24 2022,Denver Nuggets,135,Portland Trail Blazers,,110,135,october,2022-2023,3,2,60.0,3,2,60.0,1,3,4,2.0,1.0,65,83,93,60
Tue Oct 25 2022,Detroit Pistons,120,Washington Wizards,,99,120,october,2022-2023,3,2,60.0,3,2,60.0,3,0,3,3.0,2.0,66,82,43,105
Tue Oct 25 2022,Dallas Mavericks,113,New Orleans Pelicans,,111,113,october,2022-2023,3,2,60.0,3,2,60.0,2,2,4,3.0,2.0,70,86,92,60
Tue Oct 25 2022,Los Angeles Clippers,108,Oklahoma City Thunder,,94,108,october,2022-2023,4,1,80.0,3,2,60.0,3,1,4,2.0,2.0,45,103,87,64
Tue Oct 25 2022,Golden State Warriors,134,Phoenix Suns,,105,134,october,2022-2023,3,2,60.0,1,4,20.0,3,1,4,2.0,2.0,115,39,90,63
Wed Oct 26 2022,Orlando Magic,103,Cleveland Cavaliers,,92,103,october,2022-2023,3,2,60.0,3,2,60.0,4,0,4,2.0,3.0,67,83,41,108
Wed Oct 26 2022,Atlanta Hawks,113,Detroit Pistons,,118,113,october,2022-2023,4,1,80.0,1,4,20.0,0,4,4,3.0,1.0,43,106,82,74
Wed Oct 26 2022,Brooklyn Nets,110,Milwaukee Bucks,,99,110,october,2022-2023,3,2,60.0,1,4,20.0,3,1,4,2.0,4.0,96,56,89,65
Wed Oct 26 2022,Charlotte Hornets,134,New York Knicks,OT,131,134,october,2022-2023,2,3,40.0,3,2,60.0,2,1,3,3.0,2.0,74,74,75,73
Wed Oct 26 2022,Philadelphia 76ers,119,Toronto Raptors,,109,119,october,2022-2023,3,2,60.0,2,3,40.0,1,3,4,2.0,2.0,78,77,98,57
Wed Oct 26 2022,Indiana Pacers,124,Chicago Bulls,,109,124,october,2022-2023,3,2,60.0,2,3,40.0,1,3,4,2.0,2.0,75,79,55,93
Wed Oct 26 2022,San Antonio Spurs,134,Minnesota Timberwolves,,122,134,october,2022-2023,1,4,20.0,4,1,80.0,2,2,4,2.0,2.0,71,86,68,81
Wed Oct 26 2022,Houston Rockets,109,Utah Jazz,,101,109,october,2022-2023,3,2,60.0,2,3,40.0,2,1,3,2.0,2.0,99,56,37,112
Wed Oct 26 2022,Los Angeles Lakers,110,Denver Nuggets,,99,110,october,2022-2023,4,1,80.0,2,3,40.0,2,2,4,3.0,2.0,93,61,69,79
Wed Oct 26 2022,Miami Heat,98,Portland Trail Blazers,,119,98,october,2022-2023,2,3,40.0,0,5,0.0,1,1,2,2.0,2.0,66,83,91,63
Thu Oct 27 2022,Dallas Mavericks,125,Brooklyn Nets,OT,129,125,october,2022-2023,2,3,40.0,3,2,60.0,0,2,2,2.0,1.0,89,66,92,61
Thu Oct 27 2022,Los Angeles Clippers,118,Oklahoma City Thunder,,110,118,october,2022-2023,3,2,60.0,3,2,60.0,3,1,4,2.0,2.0,46,103,87,65
Thu Oct 27 2022,Miami Heat,123,Golden State Warriors,,110,123,october,2022-2023,1,4,20.0,1,4,20.0,1,1,2,1.0,2.0,90,64,92,63
Thu Oct 27 2022,Memphis Grizzlies,110,Sacramento Kings,,125,110,october,2022-2023,3,2,60.0,3,2,60.0,2,2,4,3.0,4.0,56,92,95,59
Fri Oct 28 2022,Atlanta Hawks,112,Detroit Pistons,,136,112,october,2022-2023,3,2,60.0,2,3,40.0,0,4,4,2.0,2.0,43,107,83,74
Fri Oct 28 2022,Charlotte Hornets,113,Orlando Magic,,93,113,october,2022-2023,4,1,80.0,4,1,80.0,3,1,4,2.0,2.0,41,109,75,74
Fri Oct 28 2022,Cleveland Cavaliers,123,Boston Celtics,OT,132,123,october,2022-2023,4,1,80.0,2,3,40.0,1,3,4,2.0,4.0,92,62,68,83
Fri Oct 28 2022,Philadelphia 76ers,90,Toronto Raptors,,112,90,october,2022-2023,3,2,60.0,2,3,40.0,1,3,4,2.0,2.0,79,77,98,58
Fri Oct 28 2022,Indiana Pacers,117,Washington Wizards,,127,117,october,2022-2023,3,2,60.0,2,3,40.0,2,2,4,2.0,3.0,67,82,55,94
Fri Oct 28 2022,New York Knicks,119,Milwaukee Bucks,,108,119,october,2022-2023,2,3,40.0,1,4,20.0,3,0,3,2.0,2.0,97,56,75,74
Fri Oct 28 2022,Los Angeles Lakers,111,Minnesota Timberwolves,,102,111,october,2022-2023,1,4,20.0,3,2,60.0,2,2,4,2.0,2.0,72,86,69,80
Fri Oct 28 2022,Chicago Bulls,129,San Antonio Spurs,,124,129,october,2022-2023,4,1,80.0,2,3,40.0,1,1,2,2.0,2.0,68,82,76,79
Fri Oct 28 2022,Utah Jazz,117,Denver Nuggets,,101,117,october,2022-2023,3,2,60.0,3,2,60.0,2,2,4,2.0,2.0,94,61,100,56
Fri Oct 28 2022,New Orleans Pelicans,124,Phoenix Suns,,111,124,october,2022-2023,3,2,60.0,2,3,40.0,2,2,4,3.0,3.0,116,39,71,86
Fri Oct 28 2022,Houston Rockets,125,Portland Trail Blazers,,111,125,october,2022-2023,2,3,40.0,3,2,60.0,3,0,3,2.0,2.0,66,84,37,113
Sat Oct 29 2022,Miami Heat,119,Sacramento Kings,,113,119,october,2022-2023,2,3,40.0,2,3,40.0,1,1,2,2.0,2.0,56,93,92,64
Sat Oct 29 2022,Golden State Warriors,120,Charlotte Hornets,OT,113,120,october,2022-2023,4,1,80.0,1,4,20.0,1,1,2,2.0,1.0,75,75,91,64
Sat Oct 29 2022,Indiana Pacers,116,Brooklyn Nets,,125,116,october,2022-2023,2,3,40.0,3,2,60.0,2,2,4,1.0,2.0,89,67,56,94
Sat Oct 29 2022,Philadelphia 76ers,109,Chicago Bulls,,114,109,october,2022-2023,2,3,40.0,2,3,40.0,2,2,4,1.0,1.0,76,80,99,58
Sat Oct 29 2022,Atlanta Hawks,123,Milwaukee Bucks,,115,123,october,2022-2023,1,4,20.0,2,3,40.0,2,2,4,1.0,1.0,98,56,84,74
Sat Oct 29 2022,Oklahoma City Thunder,111,Dallas Mavericks,OT,117,111,october,2022-2023,4,1,80.0,2,3,40.0,1,2,3,2.0,2.0,93,61,47,103
Sat Oct 29 2022,Memphis Grizzlies,124,Utah Jazz,,123,124,october,2022-2023,4,1,80.0,3,2,60.0,2,2,4,2.0,1.0,100,57,96,59
Sun Oct 30 2022,New Orleans Pelicans,91,Los Angeles Clippers,,112,91,october,2022-2023,4,1,80.0,3,2,60.0,0,3,3,2.0,3.0,87,66,71,87
Sun Oct 30 2022,Washington Wizards,112,Boston Celtics,,94,112,october,2022-2023,3,2,60.0,2,3,40.0,2,1,3,2.0,2.0,92,63,67,83
Sun Oct 30 2022,New York Knicks,121,Cleveland Cavaliers,,108,121,october,2022-2023,3,2,60.0,2,3,40.0,2,7,9,2.0,2.0,69,83,75,75
Sun Oct 30 2022,Golden State Warriors,128,Detroit Pistons,,114,128,october,2022-2023,3,2,60.0,2,3,40.0,2,0,2,1.0,2.0,43,108,91,65
Sun Oct 30 2022,Minnesota Timberwolves,107,San Antonio Spurs,,98,107,october,2022-2023,4,1,80.0,1,4,20.0,2,2,4,2.0,2.0,69,82,73,86
Sun Oct 30 2022,Orlando Magic,114,Dallas Mavericks,,105,114,october,2022-2023,3,2,60.0,3,2,60.0,1,1,2,2.0,1.0,93,62,42,109
Sun Oct 30 2022,Houston Rockets,124,Phoenix Suns,,109,124,october,2022-2023,2,3,40.0,3,2,60.0,1,2,3,2.0,2.0,117,39,37,114
Sun Oct 30 2022,Denver Nuggets,121,Los Angeles Lakers,,110,121,october,2022-2023,3,2,60.0,2,3,40.0,2,2,4,2.0,2.0,69,81,95,61
Mon Oct 31 2022,Sacramento Kings,108,Charlotte Hornets,,115,108,october,2022-2023,3,2,60.0,1,4,20.0,1,1,2,2.0,2.0,76,75,57,93
Mon Oct 31 2022,Philadelphia 76ers,111,Washington Wizards,,118,111,october,2022-2023,2,3,40.0,3,2,60.0,2,2,4,2.0,1.0,67,84,100,58
Mon Oct 31 2022,Indiana Pacers,116,Brooklyn Nets,,109,116,october,2022-2023,2,3,40.0,4,1,80.0,2,2,4,2.0,2.0,89,68,57,94
Mon Oct 31 2022,Atlanta Hawks,139,Toronto Raptors,,109,139,october,2022-2023,3,2,60.0,3,2,60.0,1,2,3,2.0,3.0,79,78,84,75
Mon Oct 31 2022,Detroit Pistons,110,Milwaukee Bucks,,108,110,october,2022-2023,1,4,20.0,2,3,40.0,4,0,4,1.0,2.0,99,56,44,108
Mon Oct 31 2022,Memphis Grizzlies,121,Utah Jazz,,105,121,october,2022-2023,3,2,60.0,4,1,80.0,2,2,4,2.0,2.0,101,57,96,60
Mon Oct 31 2022,Houston Rockets,95,Los Angeles Clippers,,93,95,october,2022-2023,3,2,60.0,4,1,80.0,4,0,4,1.0,1.0,87,67,37,115
Tue Nov 1 2022,Chicago Bulls,99,Brooklyn Nets,,108,99,november,2022-2023,2,3,40.0,1,4,20.0,1,3,4,3.0,1.0,90,68,76,81
Tue Nov 1 2022,Golden State Warriors,116,Miami Heat,,109,116,november,2022-2023,3,2,60.0,3,2,60.0,1,1,2,2.0,3.0,92,65,91,66
Tue Nov 1 2022,Orlando Magic,116,Oklahoma City Thunder,,108,116,november,2022-2023,2,3,40.0,3,2,60.0,1,1,2,2.0,3.0,48,103,42,110
Tue Nov 1 2022,Minnesota Timberwolves,116,Phoenix Suns,,107,116,november,2022-2023,2,3,40.0,2,3,40.0,3,1,4,2.0,2.0,118,39,73,87
Wed Nov 2 2022,Washington Wizards,111,Philadelphia 76ers,,121,111,november,2022-2023,4,1,80.0,2,3,40.0,2,2,4,2.0,2.0,101,58,67,85
Wed Nov 2 2022,Boston Celtics,114,Cleveland Cavaliers,OT,113,114,november,2022-2023,2,3,40.0,3,2,60.0,3,1,4,3.0,3.0,70,83,93,63
Wed Nov 2 2022,Sacramento Kings,110,Miami Heat,,107,110,november,2022-2023,3,2,60.0,2,3,40.0,1,1,2,2.0,1.0,93,65,58,93
Wed Nov 2 2022,Atlanta Hawks,99,New York Knicks,,112,99,november,2022-2023,2,3,40.0,4,1,80.0,2,2,4,2.0,3.0,75,76,84,76
Wed Nov 2 2022,Charlotte Hornets,106,Chicago Bulls,,88,106,november,2022-2023,2,3,40.0,3,2,60.0,3,1,4,2.0,1.0,77,81,76,76
Wed Nov 2 2022,Los Angeles Clippers,101,Houston Rockets,,109,101,november,2022-2023,4,1,80.0,2,3,40.0,0,4,4,2.0,2.0,37,116,88,67
Wed Nov 2 2022,Detroit Pistons,116,Milwaukee Bucks,,91,116,november,2022-2023,0,5,0.0,2,3,40.0,4,0,4,2.0,2.0,100,56,44,109
Wed Nov 2 2022,Toronto Raptors,100,San Antonio Spurs,,143,100,november,2022-2023,3,2,60.0,2,3,40.0,0,2,2,2.0,3.0,70,82,80,78
Wed Nov 2 2022,Utah Jazz,103,Dallas Mavericks,,100,103,november,2022-2023,2,3,40.0,2,3,40.0,3,1,4,2.0,3.0,94,62,102,57
Wed Nov 2 2022,Memphis Grizzlies,106,Portland Trail Blazers,,111,106,november,2022-2023,1,4,20.0,4,1,80.0,1,2,3,2.0,5.0,67,84,96,61
Wed Nov 2 2022,New Orleans Pelicans,120,Los Angeles Lakers,OT,117,120,november,2022-2023,2,3,40.0,3,2,60.0,3,1,4,3.0,3.0,70,81,72,87
Thu Nov 3 2022,Golden State Warriors,130,Orlando Magic,,129,130,november,2022-2023,4,1,80.0,4,1,80.0,2,0,2,2.0,2.0,42,111,91,67
Thu Nov 3 2022,Denver Nuggets,110,Oklahoma City Thunder,,122,110,november,2022-2023,1,4,20.0,2,3,40.0,1,3,4,4.0,2.0,49,103,95,62
Fri Nov 4 2022,Cleveland Cavaliers,88,Detroit Pistons,,112,88,november,2022-2023,2,3,40.0,1,4,20.0,0,4,4,2.0,2.0,44,110,71,83
Fri Nov 4 2022,Miami Heat,101,Indiana Pacers,,99,101,november,2022-2023,5,0,100.0,3,2,60.0,2,2,4,2.0,4.0,57,95,94,65
Fri Nov 4 2022,New York Knicks,104,Philadelphia 76ers,,106,104,november,2022-2023,4,1,80.0,2,3,40.0,2,2,4,2.0,2.0,101,59,75,77
Fri Nov 4 2022,Brooklyn Nets,86,Washington Wizards,,128,86,november,2022-2023,2,3,40.0,1,4,20.0,0,4,4,3.0,2.0,68,85,90,69
Fri Nov 4 2022,Chicago Bulls,123,Boston Celtics,,119,123,november,2022-2023,3,2,60.0,2,3,40.0,2,2,4,2.0,2.0,93,64,78,81
Fri Nov 4 2022,Charlotte Hornets,130,Memphis Grizzlies,,99,130,november,2022-2023,4,1,80.0,3,2,60.0,2,0,2,2.0,2.0,97,61,76,77
Fri Nov 4 2022,Los Angeles Clippers,106,San Antonio Spurs,,113,106,november,2022-2023,2,3,40.0,3,2,60.0,0,4,4,2.0,2.0,70,83,89,67
Fri Nov 4 2022,Toronto Raptors,111,Dallas Mavericks,,110,111,november,2022-2023,2,3,40.0,2,3,40.0,1,1,2,2.0,2.0,95,62,81,78
Fri Nov 4 2022,Golden State Warriors,114,New Orleans Pelicans,,105,114,november,2022-2023,3,2,60.0,4,1,80.0,2,2,4,1.0,2.0,72,88,91,68
Fri Nov 4 2022,Milwaukee Bucks,102,Minnesota Timberwolves,,115,102,november,2022-2023,2,3,40.0,0,5,0.0,0,2,2,2.0,3.0,73,88,101,56
Fri Nov 4 2022,Portland Trail Blazers,106,Phoenix Suns,,108,106,november,2022-2023,1,4,20.0,1,4,20.0,1,2,3,2.0,3.0,119,39,67,85
Fri Nov 4 2022,Utah Jazz,116,Los Angeles Lakers,,130,116,november,2022-2023,2,3,40.0,2,3,40.0,2,2,4,2.0,2.0,71,81,102,58
Sat Nov 5 2022,Sacramento Kings,123,Orlando Magic,OT,126,123,november,2022-2023,3,2,60.0,3,2,60.0,0,2,2,3.0,2.0,43,111,58,94
Sat Nov 5 2022,Brooklyn Nets,94,Charlotte Hornets,,98,94,november,2022-2023,3,2,60.0,1,4,20.0,0,4,4,1.0,1.0,76,78,91,69
Sat Nov 5 2022,New Orleans Pelicans,124,Atlanta Hawks,OT,121,124,november,2022-2023,5,0,100.0,3,2,60.0,1,1,2,1.0,3.0,85,76,73,88
Sat Nov 5 2022,Boston Celtics,118,New York Knicks,,133,118,november,2022-2023,3,2,60.0,2,3,40.0,3,1,4,1.0,1.0,76,77,94,64
Sat Nov 5 2022,Oklahoma City Thunder,108,Milwaukee Bucks,,94,108,november,2022-2023,1,4,20.0,1,4,20.0,2,0,2,2.0,1.0,102,56,49,104
Sat Nov 5 2022,Houston Rockets,129,Minnesota Timberwolves,,117,129,november,2022-2023,2,3,40.0,4,1,80.0,3,1,4,3.0,1.0,73,89,37,117
Sat Nov 5 2022,San Antonio Spurs,126,Denver Nuggets,,101,126,november,2022-2023,3,2,60.0,1,4,20.0,2,1,3,1.0,2.0,96,62,70,84
Sat Nov 5 2022,Portland Trail Blazers,102,Phoenix Suns,,82,102,november,2022-2023,0,5,0.0,1,4,20.0,1,2,3,1.0,1.0,119,40,68,85
Sun Nov 6 2022,Cleveland Cavaliers,100,Los Angeles Lakers,,114,100,november,2022-2023,2,3,40.0,2,3,40.0,0,2,2,2.0,2.0,71,82,72,83
Sun Nov 6 2022,Washington Wizards,103,Memphis Grizzlies,,97,103,november,2022-2023,4,1,80.0,2,3,40.0,1,1,2,2.0,2.0,98,61,68,86
Sun Nov 6 2022,Chicago Bulls,113,Toronto Raptors,,104,113,november,2022-2023,2,3,40.0,3,2,60.0,2,2,4,2.0,2.0,81,79,78,82
Sun Nov 6 2022,Utah Jazz,102,Los Angeles Clippers,,110,102,november,2022-2023,3,2,60.0,3,2,60.0,1,3,4,2.0,2.0,90,67,103,58
Mon Nov 7 2022,Washington Wizards,100,Charlotte Hornets,,108,100,november,2022-2023,2,3,40.0,3,2,60.0,1,3,4,1.0,2.0,76,79,68,87
Mon Nov 7 2022,Houston Rockets,127,Orlando Magic,,134,127,november,2022-2023,2,3,40.0,4,1,80.0,1,1,2,2.0,2.0,43,112,37,118
Mon Nov 7 2022,Oklahoma City Thunder,112,Detroit Pistons,,103,112,november,2022-2023,2,3,40.0,2,3,40.0,1,1,2,2.0,3.0,44,111,49,105
Mon Nov 7 2022,New Orleans Pelicans,129,Indiana Pacers,,122,129,november,2022-2023,4,1,80.0,4,1,80.0,1,1,2,2.0,3.0,58,95,73,89
Mon Nov 7 2022,Phoenix Suns,100,Philadelphia 76ers,,88,100,november,2022-2023,3,2,60.0,0,5,0.0,1,1,2,2.0,3.0,101,60,120,40
Mon Nov 7 2022,Milwaukee Bucks,117,Atlanta Hawks,,98,117,november,2022-2023,4,1,80.0,1,4,20.0,2,2,4,2.0,2.0,86,76,103,56
Mon Nov 7 2022,Portland Trail Blazers,107,Miami Heat,,110,107,november,2022-2023,3,2,60.0,2,3,40.0,1,1,2,2.0,3.0,94,66,68,86
Mon Nov 7 2022,Toronto Raptors,111,Chicago Bulls,,97,111,november,2022-2023,3,2,60.0,2,3,40.0,2,2,4,1.0,1.0,78,83,82,79
Mon Nov 7 2022,Boston Celtics,106,Memphis Grizzlies,,109,106,november,2022-2023,3,2,60.0,2,3,40.0,0,2,2,2.0,1.0,99,61,95,64
Mon Nov 7 2022,New York Knicks,107,Minnesota Timberwolves,,120,107,november,2022-2023,2,3,40.0,3,2,60.0,1,1,2,2.0,2.0,74,89,76,78
Mon Nov 7 2022,Denver Nuggets,109,San Antonio Spurs,,115,109,november,2022-2023,1,4,20.0,2,3,40.0,1,2,3,2.0,2.0,70,85,97,62
Mon Nov 7 2022,Brooklyn Nets,96,Dallas Mavericks,,94,96,november,2022-2023,1,4,20.0,2,3,40.0,2,0,2,2.0,3.0,96,62,92,69
Mon Nov 7 2022,Sacramento Kings,116,Golden State Warriors,,113,116,november,2022-2023,5,0,100.0,3,2,60.0,7,4,11,2.0,3.0,91,69,59,94
Mon Nov 7 2022,Los Angeles Lakers,139,Utah Jazz,,116,139,november,2022-2023,3,2,60.0,1,4,20.0,2,2,4,1.0,1.0,104,58,71,83
Mon Nov 7 2022,Cleveland Cavaliers,119,Los Angeles Clippers,,117,119,november,2022-2023,2,3,40.0,3,2,60.0,1,1,2,1.0,1.0,90,68,73,83
Wed Nov 9 2022,Dallas Mavericks,94,Orlando Magic,,87,94,november,2022-2023,2,3,40.0,0,5,0.0,1,1,2,2.0,2.0,43,113,97,62
Wed Nov 9 2022,Portland Trail Blazers,95,Charlotte Hornets,,105,95,november,2022-2023,2,3,40.0,3,2,60.0,0,2,2,2.0,2.0,76,80,69,86
Wed Nov 9 2022,Denver Nuggets,119,Indiana Pacers,,122,119,november,2022-2023,3,2,60.0,3,2,60.0,0,2,2,2.0,2.0,59,95,98,62
